,run_no,loc,x_1,y_1,x_2,y_2,pix_dist
0,2,A,4.0,109.0,4.0,164.0,55.0
0,2,B,1204.509911894273,3163.866568914956,1341.8143459915611,3118.3924050632913,-45.4741638516648
