,run_no,loc,x_1,y_1,x_2,y_2,pix_dist
0,1,C,309.0,453,357.0,453,48.0
1,1,D,219.0,1595,260.0,1595,41.0
2,1,E,224.0,2820,255.0,2820,31.0
