,run_no,loc,x_1,y_1,x_2,y_2,pix_dist
0,2,C,4425.0,540,4464.0,540,39.0
1,2,D,4222.0,1690,4258.0,1690,36.0
2,2,E,4256.0,2892,4286.0,2892,30.0
