,run_no,loc,x_1,y_1,x_2,y_2,pix_dist
0,3,C,4426.0,541,4464.0,541,38.0
1,3,D,4223.0,1691,4257.0,1691,34.0
2,3,E,4256.0,2892,4286.0,2892,30.0
