,run_no,loc,x_1,y_1,x_2,y_2,pix_dist
0,3,A,1480.0,262.0,1480.0,320.0,58.0
0,3,B,2180.280112044818,3230.6482213438735,2256.6030927835054,3254.8092783505153,24.16105700664184
