,run_no,loc,x_1,y_1,x_2,y_2,pix_dist
0,1,C,2346.0,551,2376.0,551,30.0
1,1,D,2250.0,1600,2282.0,1600,32.0
2,1,E,2290.0,2641,2318.0,2641,28.0
