,run_no,loc,x_1,y_1,x_2,y_2,pix_dist
0,3,C,2696.0,504,2726.0,504,30.0
1,3,D,2586.0,1556,2619.0,1556,33.0
2,3,E,2596.0,2595,2626.0,2595,30.0
