,run_no,loc,x_1,y_1,x_2,y_2,pix_dist
0,1,C,2694.0,511,2738.0,511,44.0
1,1,D,2586.0,1555,2619.0,1555,33.0
2,1,E,2597.0,2591,2625.0,2591,28.0
