run_no,time,camera,path,Successfull
2022-10-30-17063730,2022-10-30-17063730,Middle Left,pictures/TopCamera//run-2022-10-30-17063730-0.jpg,False
2022-10-30-17063730,2022-10-30-17063730,Middle,pictures/TopCamera//run-2022-10-30-17063730-1.jpg,False
2022-10-30-17063730,2022-10-30-17063730,Right,pictures/TopCamera//run-2022-10-30-17063730-2.jpg,False
2022-10-30-17063730,2022-10-30-17063730,Left,pictures/TopCamera//run-2022-10-30-17063730-3.jpg,False
